Name,Age,Gender,Occupation,Income,Expenses,CreditScore,RiskProfile
James Sanchez,22,Female,Unemployed,32269.69,14785.2,Excellent,Low
Ashley Gilbert,34,Male,Student,67871.95,49025.67,Good,Medium
Jessica Strong,40,Female,Student,90957.67,48203.03,Average,Medium
Deborah Moses,39,Male,Unemployed,59571.65,27974.67,Excellent,Low
Christian Mcgrath,21,Female,Student,24528.51,15196.35,Good,Medium
Zachary Pierce,31,Male,Self-Employed,61482.07,33699.77,Average,Medium
Morgan Rodgers,28,Male,Self-Employed,60171.38,38526.39,Poor,High
Kathleen Grimes,18,Male,Self-Employed,73633.89,32765.59,Poor,High
Monica Bean,37,Female,Salaried,85172.77,60344.99,Poor,High
Kara Knight,32,Female,Student,34589.8,13135.79,Good,Low
Christian Hart,28,Male,Salaried,26800.73,21578.04,Good,High
Allen Stephens,30,Female,Self-Employed,31847.4,27490.26,Good,High
Tanya Wiggins,19,Female,Salaried,75158.57,23838.68,Average,Medium
Ronald Cannon,39,Female,Salaried,49017.71,20371.42,Poor,High
Amy Cook,20,Male,Unemployed,81206.5,58790.73,Poor,High
Ronald Booker,30,Male,Student,36702.03,11117.86,Poor,High
Michelle George,31,Female,Unemployed,72204.62,32640.39,Average,Medium
Erik Hubbard,38,Male,Student,50596.14,39981.28,Average,Medium
Bryan Randolph,39,Male,Salaried,18475.74,11613.67,Poor,High
Elizabeth Simmons,23,Female,Salaried,73062.38,63682.97,Good,High
Deborah Fuller,28,Male,Student,47301.81,32730.3,Average,Medium
Melody Le,23,Female,Salaried,29225.27,14766.61,Average,Medium
Lisa Flowers,38,Male,Salaried,11641.45,5127.88,Average,High
Jamie Taylor,20,Female,Unemployed,91230.75,48151.41,Poor,High
Monique Wilson,33,Female,Self-Employed,13699.81,9167.12,Excellent,High
Timothy Sanders,40,Male,Salaried,84416.63,38837.91,Poor,High
Cody Jackson,40,Female,Student,93352.72,67711.44,Excellent,Medium
Daniel Horn,22,Male,Unemployed,56356.66,41111.73,Poor,High
Tyler Vasquez,30,Female,Salaried,73127.86,57498.81,Average,Medium
Luke Hobbs,21,Female,Self-Employed,76510.1,65891.95,Poor,High
Brandon Hunter,39,Female,Salaried,23037.79,12238.92,Good,Low
Mariah Ramirez,38,Female,Self-Employed,71718.34,29985.97,Excellent,Low
Travis Adams,26,Male,Unemployed,93634.03,68166.64,Poor,High
Daniel Wang,27,Female,Salaried,28859.31,18014.55,Good,Medium
Bobby Kelley,21,Male,Salaried,52530.93,45183.57,Good,High
Melissa Mcintyre,33,Female,Student,16570.01,9159.19,Average,High
Mario Howard,34,Male,Unemployed,22800.63,7059.32,Poor,High
Melissa Oliver,39,Female,Salaried,84023.59,56932.4,Poor,High
Jill Krause,33,Male,Self-Employed,61328.13,26447.14,Excellent,Low
Stacy Watson,24,Female,Student,68158.96,28389.6,Average,Medium
Cynthia Martinez,18,Male,Unemployed,46747.78,34600.63,Good,Medium
Juan Jones,30,Male,Salaried,17731.18,5401.46,Poor,High
Patricia Torres,26,Male,Salaried,29409.84,19546.09,Poor,High
Luis Lee,21,Female,Salaried,51553.89,32225.69,Poor,High
Brian Lopez,29,Female,Student,16601.64,14274.23,Good,High
Ronnie Lopez,40,Male,Unemployed,74191.68,43921.71,Average,Medium
Melissa Wheeler,22,Male,Salaried,17913.34,15616.84,Good,High
Whitney Gordon,31,Male,Student,80994.48,65511.99,Excellent,High
Tyler Little,18,Male,Unemployed,63088.88,24597.05,Poor,High
Mitchell Brown,21,Male,Self-Employed,63012.66,22988.04,Average,Medium
Hector Campbell,26,Female,Salaried,20001.37,8753.64,Good,Low
Adriana Myers,31,Male,Unemployed,71235.28,53986.93,Good,Medium
Mark Simmons,37,Female,Salaried,85686.71,26653.56,Average,Medium
Ana Scott,19,Female,Salaried,55465.41,43947.38,Average,Medium
Kathryn Smith,23,Male,Unemployed,12313.52,10780.81,Poor,High
Dillon Ayala,33,Female,Salaried,69015.68,46381.71,Excellent,Medium
Angela Ibarra,30,Female,Self-Employed,80443.16,38167.48,Poor,High
Mrs. Leah Cabrera,21,Male,Student,73676.65,56284.93,Average,Medium
Laura Evans,26,Male,Self-Employed,22212.74,14648.13,Good,Medium
Adam Roberts,18,Male,Self-Employed,16360.48,9895.66,Excellent,High
Joseph Trevino,34,Male,Student,11816.79,4374.51,Poor,High
Christopher Dickson,36,Female,Unemployed,82281.07,73269.62,Average,High
Sarah Perry,32,Male,Salaried,50042.79,31312.22,Good,Medium
John Newman,40,Female,Salaried,61019.91,27687.59,Good,Low
Gina Green,37,Female,Self-Employed,31290.31,23753.02,Poor,High
Dana Key,28,Female,Self-Employed,68326.73,59444.39,Poor,High
Samantha Miller,31,Female,Salaried,28217.36,22983.2,Good,High
Drew Thomas,31,Male,Self-Employed,17846.87,6082.18,Excellent,High
Daniel Pham,38,Male,Salaried,55292.47,17375.74,Poor,High
Trevor Jones,29,Female,Self-Employed,41143.01,17093.34,Average,Medium
Jason Manning,26,Female,Student,63499.34,35944.58,Average,Medium
Amanda Hill,33,Male,Salaried,33825.23,26673.76,Good,Medium
Charles Pena,26,Female,Unemployed,21122.08,9496.65,Good,Low
Laura Carter,22,Male,Salaried,74637.67,45660.6,Average,Medium
James Sellers,36,Female,Salaried,77596.59,24787.98,Poor,High
Carolyn Harmon,33,Male,Self-Employed,58617.04,48506.66,Good,High
Michael Dominguez,26,Female,Student,83689.95,29210.21,Average,Medium
Matthew White,35,Female,Self-Employed,38829.81,21363.78,Excellent,Low
Steven Johnson,23,Female,Unemployed,34745.11,27824.38,Good,High
Paul Thomas,36,Male,Unemployed,52148.65,43638.71,Excellent,High
Cody Foley,26,Male,Student,30511.29,17313.99,Average,Medium
Theresa Lane,27,Male,Student,73013.96,53434.8,Excellent,Medium
Natalie Harrison,19,Female,Salaried,71583.43,28097.34,Good,Low
Dr. Melissa Dorsey,18,Female,Student,11367.52,8775.91,Good,High
Aaron Giles,27,Male,Salaried,72841.7,49011.63,Poor,High
Ariana Hess,22,Female,Self-Employed,46120.61,14536.08,Excellent,Low
Joann Gutierrez MD,23,Male,Salaried,90537.78,62322.47,Good,Medium
Susan Hicks,22,Female,Unemployed,89331.29,57462.7,Excellent,Medium
Timothy Campbell,28,Female,Unemployed,77696.67,60446.16,Poor,High
Shelly Velez,39,Male,Self-Employed,43441.35,13662.01,Average,Medium
Angela Rivas,24,Male,Self-Employed,49897.42,34838.42,Poor,High
John Grant,27,Female,Salaried,59665.55,39668.98,Excellent,Medium
Craig Moore,30,Female,Salaried,14447.52,9529.94,Poor,High
Lisa Wilcox,20,Male,Unemployed,93283.34,71333.13,Poor,High
John Martinez,20,Male,Unemployed,40186.05,26310.65,Excellent,Medium
Robert Dougherty,23,Male,Self-Employed,42120.74,21253.53,Poor,High
Ashley Medina,20,Female,Self-Employed,69603.5,60111.43,Good,High
Michael Wright,39,Male,Salaried,28113.71,19558.58,Good,Medium
Joy Lang,26,Male,Salaried,19504.83,9902.88,Excellent,High
Tyrone Alexander,28,Female,Unemployed,56085.1,19486.82,Average,Medium
Derek Hodges,24,Female,Salaried,46187.48,29718.82,Good,Medium
Cheyenne Woods,19,Male,Student,86594.43,39200.81,Good,Low
Casey Scott,29,Male,Self-Employed,37367.74,20092.99,Good,Low
Maurice Wall,36,Female,Unemployed,15721.04,9534.08,Poor,High
Larry Benton,25,Male,Unemployed,52290.68,25948.52,Poor,High
Daniel Martin,28,Female,Salaried,11684.18,5657.61,Excellent,High
